"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","success","stimulus","key_press","button_pressed","type","corrResp","givenResp","acc"
"","35","html-button-response","39","11175","0.0-3.0-0.36","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>उधति<br><br></div>","","1","nonword","z","m","0"
"","36","html-button-response","40","11213","0.0-3.0-0.37","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>संदिष्का<br><br></div>","","1","nonword","z","m","0"
"","36","html-button-response","41","11250","0.0-3.0-0.38","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>उपभोग<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","42","11287","0.0-3.0-0.39","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>निष्ठुर<br><br></div>","","1","word","m","m","1"
"","38","html-button-response","43","11325","0.0-3.0-0.40","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>धांडेर<br><br></div>","","1","nonword","z","m","0"
"","36","html-button-response","44","11362","0.0-3.0-0.41","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>पर्ण<br><br></div>","","1","word","m","m","1"
"","38","html-button-response","45","11402","0.0-3.0-0.42","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अमुक<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","46","11439","0.0-3.0-0.43","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>फांथक<br><br></div>","","1","nonword","z","m","0"
"","34","html-button-response","47","11475","0.0-3.0-0.44","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>मूर्छित<br><br></div>","","1","word","m","m","1"
"","34","html-button-response","48","11511","0.0-3.0-0.45","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>भूमिति<br><br></div>","","1","word","m","m","1"
"","35","html-button-response","49","11548","0.0-3.0-0.46","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>अभ्यागत<br><br></div>","","1","word","m","m","1"
"","36","html-button-response","50","11586","0.0-3.0-0.47","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>ऋतु<br><br></div>","","1","word","m","m","1"
"","40","html-button-response","51","11626","0.0-3.0-0.48","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>त्वचा<br><br></div>","","1","word","m","m","1"
"","33","html-button-response","52","11663","0.0-3.0-0.49","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>दंश<br><br></div>","","1","word","m","m","1"
"","33","html-button-response","53","11697","0.0-3.0-0.50","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>औत्सुक्य<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","54","11735","0.0-3.0-0.51","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>आश्चर्य<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","55","11773","0.0-3.0-0.52","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>मनुष्य<br><br></div>","","1","word","m","m","1"
"","37","html-button-response","56","11811","0.0-3.0-0.53","","<div id='stim_item' style='font-size:80px; onmousedown='return false' onselectstart='return false'>परिपान<br><br></div>","","1","nonword","z","m","0"
